SampleId	RatioFileId	AmberBafFileId
25021S0072	file-J88z67Q4v44VQ3K6JPF501q1	file-J893Pz84zjXqpvqjYQpBvV7g
25050S0022	file-J88yvqj49KfZ4XpVvj806VVF	file-J893Qg84BbjF2ZfzfF81Qj5K
25118S0056	file-J88yx6Q40b2FFqqk39KQjYgZ	file-J893Q0j49J989vgQP6P2GK83
25168S0078	file-J88yxp84QKZ87kkX72K8k8Vg	file-J893QvQ4xZgVFfPx8YQZ99j5
25330S0024	file-J88yvb84BzpGKQgYQKb6vX7g	file-J893QZ84Q2jVkf7F3zJPGyZG
25330S0037	file-J88yvq04v3q53P8xZY1x0q6x	file-J893Y1844Q2Z5fkBfzgfjvQ3
25330S0040	file-J88yvP04QFVPQ5ZzGj614xG4	file-J893Pgj4zJKzvyZByYJbFxk3
25330S0041	file-J88yvb04V463jpvg19q89Gj6	file-J893V1j48z3J7gg2G1y5jPyj
25330S0042	file-J88yvPQ4zP4jkxGFpxFy5gfQ	file-J893V004p84jBFVJJ40kB18x
25330S0043	file-J88yvV84FFG9YQv7X5kyKBGQ	file-J893V5047JpZX0G0Ff8FzG8p
25330S0044	file-J88yvG84jqbq7bbBVzy17VGv	file-J893QG84ggkk0zB2jyy2vJ35
25330S0045	file-J88yx0Q4p0pfgG9pxVXV343b	file-J893V704ZKvFpbQ1B15P5v98
25330S0047	file-J88yvvQ4QG7p9JVzFzbQy50f	file-J893X104fZ3BB2jZJbjj3GY7
25330S0048	file-J88yxKQ48gKypxj0QjGFJgj5	file-J893Qkj4ZQz600xG9v5bkj4f
25330S0049	file-J88yvp84g4vzQ5ZzGj614xP0	file-J893Qb84F3xyq74Q1GvJqxYp
25330S0052	file-J88yx8Q4PzxkY07278f5bG28	file-J893QPQ4Xz4gP6j90J5JVvFp
25330S0053	file-J88yvJj4x4yVgQVjXK7Fv4ZG	file-J893Q0j4gk7j9Gf1ZK6K50YV
25330S0054	file-J88z6KQ4zjxXzjX8xkYK1kZx	file-J893VV849bYpYFB7Px0q0x3v
25330S0058	file-J88yxJ84PkXPqGqPy2236ZJB	file-J893QBj417j1Xv64pjB2z9yg
25330S0059	file-J88yxxj4V3qGKvGJxfpbXzGY	file-J893VxQ45599Z7p6P90QYjYZ
25330S0060	file-J88z62Q4F21kYxbY0GJg9qyP	file-J893Qyj4Kp39gY82p5FJBf9g
25330S0061	file-J88yxB849zPBzb045xBJP1K9	file-J893Q50495PJxY0Y88kp3Xjx
25330S0062	file-J88yxpj4k8QkYxbY0GJg9X0G	file-J893V384XXKyZq785qvg8Bv6
25330S0063	file-J88yxfQ4bk169QYJqQXq2QpG	file-J893Vv8432820Z3jVk4f9Xyz
25330S0093	file-J88yyY84Gq1yvvjbPbJ6k7Fk	file-J893V8Q4zkxkx1yGYF41Q2pf
25330S0094	file-J88yyV04g2X65v53vvqF2B82	file-J893VJ84YX510qVJBKfq7vGQ
25330S0096	file-J88yyKQ40xgf3f4VK8Q32XJq	file-J893Qxj48J9g1QfGzgX0F03Y
25330S0097	file-J88yyXj4GYB7ZBJBVv34ZFQ0	file-J893V7j4YbPjGyyj4F5BjYkK
25330S0098	file-J88yyp84vxV1XG5P1VZ6gG0X	file-J893VXj4PFz1B48Y04gGxxvX
25330S0101	file-J88yy5j49Ggg3kVYB8Q9y1Qx	file-J893PZ84bPyB0kZvxb9k040q
25330S0102	file-J88yygj4kbPgv4Vgj0GPbGJ6	file-J893V2j4X6x7YPb2xVk48zz7
25330S0108	file-J88yyY84kf7gX2xF094zZVbB	file-J893Qf040XQyZq785qvg8BZY
25330S0109	file-J88z6K04F818F2xJ5ZpJJ6vp	file-J893Pkj4p9kkqZzK9yZZ6v94
25330S0110	file-J88z040447X1gQVjXK7Fv54k	file-J893V9j44Jp1B48Y04gGxxpQ
25330S0111	file-J88z0784x734JZ8pGpxFG6QJ	file-J893V6Q4YJ2g5xY5F357g9pV
25330S0112	file-J88z00047qPJVk46PyZ9ZPQf	file-J893V2Q4kF3JXbx3J1P18B8f
25330S0113	file-J88z7104ZbZvKQgYQKb6vq7k	file-J893Qzj4vfjBqbQVBp9v89q0
25330S0147	file-J88z07Q42PYxVk46PyZ9ZPfX	file-J893V804k26XF36B7Zvb7v25
25330S0247	file-J88z08Q4qZfZ9kkgv8Pvj33Q	file-J893QVQ4z7j3jjxBK4Bj0GzP
25330S0347	file-J88z6z847z9fKzFyKPy3K7Kq	file-J893Qg04PkYy8B1BqZJqxP0q
25330S0447	file-J88z0Gj4B2Pfbj4qYv14b6YV	file-J893QV04JzJkx1yGYF41Q2Jz
